id,AUTM_names,std_name
95221,Univ. of Missouri all campuses,University of Missouri
95221,University of Missouri all campuses,University of Missouri
95221,University of Missouri System,University of Missouri
95222,University of Montana,University of Montana
96042,Univ. of Nebraska,University of Nebraska
96042,University of Nebraska,University of Nebraska
95224,University of Nebraska Lincoln,University of Nebraska Lincoln
95223,University of Nebraska Medical Center,University of Nebraska Medical
95226,Univ. of Nevada at Las Vegas,University of Nevada Las Vegas
95226,University of Nevada at Las Vegas,University of Nevada Las Vegas
95225,Univ. of Nevada at Reno,University of Nevada Reno
95225,University of Nevada at Reno,University of Nevada Reno
95227,Univ. of New Hampshire,University of New Hampshire
95227,University of New Hampshire,University of New Hampshire
95228,Univ. of New Mexico/Sci. & Tech. Corp.,University of New Mexico
95228,University of New Mexico/Sci. & Tech. Corp.,University of New Mexico
95229,University of New Orleans,University of New Orleans
95230,Univ. of North Carolina Chapel Hill,University of North Carolina Chapel Hill
95230,University of North Carolina at Chapel Hill,University of North Carolina Chapel Hill
95230,University of North Carolina Chapel Hill,University of North Carolina Chapel Hill
95230,University of North Carolina/ Chapel Hill,University of North Carolina Chapel Hill
95231,Univ. of North Carolina Charlotte,University of North Carolina Charlotte
95231,University of North Carolina Charlotte,University of North Carolina Charlotte
95231,University of North Carolina/Charlotte,University of North Carolina Charlotte
96031,Univ. of North Carolina at Greensboro,University of North Carolina Greensboro
96031,University of North Carolina at Greensboro,University of North Carolina Greensboro
20160313,University of North Carolina Wilmington,University of North Carolina Wilmington
95232,University of North Dakota,University of North Dakota
20070263,University of North Florida,University of North Florida
95233,Univ. of North Texas Health Science Center,University of North Texas
95233,Univ. of North Texas Health Science Ctr.,University of North Texas
95233,University of North Texas,University of North Texas
95233,University of North Texas Health Science Center,University of North Texas
96032,University of North Texas Denton,University of North Texas Denton
95234,Univ. of Northern Iowa,University of Northern Iowa
95234,University of Northern Iowa,University of Northern Iowa
96033,Univ. of Notre Dame,University of Notre Dame
96033,University of Notre Dame,University of Notre Dame
99014,Univ. of Oklahoma All Campuses,University of Oklahoma
99014,University of Oklahoma All Campuses,University of Oklahoma
99014,University of Oklahoma all campuses,University of Oklahoma
95235,University of Oklahoma Health Science Center,University of Oklahoma Health Sciences
95236,Univ. of Oregon,University of Oregon
95236,University of Oregon,University of Oregon
95237,Univ. of Pennsylvania,University of Pennsylvania
95237,University of PA,University of Pennsylvania
95237,University of Pennsylvania,University of Pennsylvania
95238,Univ. of Pittsburgh,University of Pittsburgh
95238,University of Pittsburgh,University of Pittsburgh
95239,Univ. of Rhode Island,University of Rhode Island
95239,University of Rhode Island,University of Rhode Island
95240,Univ. of Rochester,University of Rochester
95240,University of Rochester,University of Rochester
95241,Univ. of South Alabama,University of South Alabama
95241,University of South AL,University of South Alabama
95241,University of South Alabama,University of South Alabama
95242,Univ. of South Carolina,University of South Carolina
95242,University of South Carolina,University of South Carolina
20000253,Univ. of South Dakota,University of South Dakota
20000253,University of South Dakota,University of South Dakota
95243,Univ. of South Florida,University of South Florida
95243,University of South FL,University of South Florida
95243,University of South Florida,University of South Florida
95244,Univ. of Southern California,University of Southern California
95244,University of Southern CA,University of Southern California
95244,University of Southern California,University of Southern California
20160308,The University of Southern Mississippi,University of Southern Mississippi
95245,The University of Tennessee,University of Tennessee
95245,Univ. of Tennessee,University of Tennessee
95245,University of Tennessee,University of Tennessee
95245,University of Tennessee Research Corp.,University of Tennessee
20100281,University of Texas System,University of Texas
95247,University of Texas Arlington,University of Texas Arlington
95247,University of Texas at Arlington,University of Texas Arlington
97021,University of Texas at San Antonio,University of Texas at San Antonio
95248,University of Texas at Austin,University of Texas Austin
96036,University of Texas at Dallas,University of Texas Dallas
95246,University of Texas  Hlth Sci Ctr San Antonio,University of Texas Health San Antonio
95246,University of Texas Health Sci Ctr San Antonio,University of Texas Health San Antonio
95246,University of Texas Health Science Center San Antonio,University of Texas Health San Antonio
95249,University of Texas Health Science Center Houston,University of Texas Health Science Center Houston
95249,University of Texas Houston Health Sci. Center,University of Texas Health Science Center Houston
95249,University of Texas Houston Hlth. Sci. Center,University of Texas Health Science Center Houston
95251,University of Texas Medical Branch,University of Texas Medical
95252,University of Texas Southwestern Med. Center,University of Texas Southwestern
95253,Univ. of Toledo,University of Toledo
95253,University of Toledo,University of Toledo
95255,University of Tulsa,University of Tulsa
95255,University of Tulsa Research Offices,University of Tulsa
95256,Univ. of Utah,University of Utah
95256,University of Utah,University of Utah
95257,Univ. of Vermont,University of Vermont
95257,University of Vermont,University of Vermont
95259,Univ. of Virginia Patent Fdn.,University of Virginia
95259,Univ. of Virginia Patent Foundation,University of Virginia
95259,University of Virginia Patent Foundation,University of Virginia
95259,University of Virginia Patents Foundation,University of Virginia
95260,Univ. of Washington/Wash. Res. Fdn.,University of Washington
